#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_692	1910	23	Y	N	4	*	692
contig_412	1902	22	N	Y	4	84	412
contig_646	1894	30	Y	Y	6	*	646
contig_162	1882	6	N	Y	3	*	162
contig_693	1858	11	Y	N	3	*	693
contig_718	1846	5	Y	N	1	*	718
contig_723	1826	7	Y	N	1	*	723
contig_700	1813	12	Y	N	2	*	700
contig_663	1812	20	Y	N	4	*	663
contig_407	1812	12	N	Y	2	84	407
contig_472	1812	10	N	Y	2	94	472,*
contig_347	1766	15	N	N	2	*	*,347,*
contig_722	1707	3	Y	N	1	*	722
contig_727	1707	8	Y	N	1	*	727
contig_442	1681	26	Y	Y	4	*	442
contig_123	1666	85	N	Y	16	46	123
contig_703	1644	24	Y	N	4	*	703
contig_452	1626	3	N	Y	1	104	*,452,*
contig_411	1623	10	N	Y	1	84	411
contig_323	1617	37	N	N	4	*	*,323,*
contig_708	1608	8	Y	N	2	*	708
contig_416	1592	7	N	Y	1	88	*,416,*
contig_672	1535	13	Y	N	1	*	672
contig_687	1514	9	Y	N	1	*	687
contig_671	1493	13	Y	N	2	*	671
contig_728	1445	9	Y	N	1	*	728
contig_711	1394	15	Y	N	2	*	711
contig_730	1393	10	Y	N	1	*	730
contig_668	1387	8	Y	N	1	*	668
contig_281	1338	8	N	Y	1	80	*,281,*
contig_741	1317	28	Y	N	5	*	741
contig_735	1313	7	Y	N	1	*	735
contig_720	1310	23	Y	N	4	*	720
contig_665	1305	12	Y	N	1	*	665
contig_669	1301	10	Y	N	2	*	669
contig_332	1301	4	N	N	1	*	*,332,*
contig_163	1299	6	N	Y	3	*	163
contig_408	1296	8	N	Y	1	84	408
contig_662	1293	84	Y	N	17	*	662
contig_682	1291	74	Y	N	14	*	682
contig_704	1234	9	Y	N	1	*	704
contig_734	1231	13	Y	N	2	*	734
contig_12	1212	13	N	N	2	*	*,12,*
contig_661	1194	76	Y	N	14	*	661
contig_713	1187	17	Y	N	3	*	713
contig_508	1184	50	Y	Y	9	*	508
contig_676	1179	26	Y	N	4	*	676
contig_626	1178	11	N	Y	1	72	*,626,*
contig_94	1170	25	N	N	3	*	*,94,*
contig_716	1148	17	Y	N	2	*	716
contig_715	1117	11	Y	N	1	*	715
contig_174	1101	18	N	N	2	*	*,174,*
contig_740	1025	25	Y	N	5	*	740
contig_475	878	10	N	Y	1	94	*,475
contig_273	728	7	N	Y	1	72	*,273,*
contig_403	725	84	N	Y	16	84	403
contig_113	689	18	N	Y	3	*	113
contig_322	687	10	N	N	1	*	*,322,*
contig_202	645	6	N	N	1	*	202
contig_108	633	9	N	Y	1	*	108
contig_402	582	89	N	Y	17	84	402
contig_112	574	7	N	Y	1	*	112
contig_152	520	5	N	Y	1	*	152
contig_410	512	40	N	Y	8	84	410
